ID,Class
1,n
2,8
3,T
4,I
5,R
6,W
7,L
8,l
9,K
10,G
11,A
12,A
13,C
14,u
15,t
16,A
17,N
18,I
19,O
20,k
21,l
22,D
23,T
24,u
25,w
26,N
27,E
28,E
29,H
30,e
31,C
32,A
33,N
34,T
35,C
36,A
37,W
38,i
39,O
40,r
41,a
42,0
43,a
44,N
45,H
46,e
47,R
48,1
49,A
50,6
51,o
52,L
53,H
54,A
55,0
56,W
57,1
58,D
59,W
60,I
61,C
62,O
63,L
64,G
65,A
66,E
67,c
68,R
69,A
70,H
71,6
72,o
73,S
74,w
75,N
76,6
77,R
78,E
79,a
80,T
81,2
82,Y
83,Z
84,R
85,r
86,e
87,l
88,f
89,i
90,N
91,O
92,S
93,E
94,r
95,S
96,J
97,Z
98,1
99,r
100,Z
101,D
102,i
103,M
104,5
105,E
106,E
107,e
108,S
109,A
110,n
111,d
112,7
113,A
114,E
115,P
116,H
117,6
118,E
119,a
120,T
121,6
122,F
123,R
124,e
125,D
126,o
127,e
128,e
129,T
130,S
131,E
132,r
133,O
134,n
135,r
136,u
137,A
138,H
139,E
140,t
141,A
142,j
143,b
144,P
145,A
146,d
147,q
148,X
149,3
150,4
151,O
152,I
153,E
154,L
155,A
156,n
157,L
158,a
159,a
160,A
161,t
162,T
163,L
164,N
165,D
166,a
167,T
168,U
169,H
170,R
171,I
172,R
173,R
174,j
175,N
176,T
177,C
178,E
179,t
180,U
181,9
182,D
183,N
184,e
185,C
186,I
187,E
188,E
189,t
190,x
191,S
192,n
193,A
194,4
195,W
196,Y
197,k
198,F
199,2
200,0
201,A
202,r
203,G
204,H
205,N
206,H
207,m
208,g
209,A
210,O
211,O
212,R
213,U
214,P
215,E
216,N
217,T
218,e
219,R
220,M
221,W
222,G
223,N
224,0
225,T
226,C
227,M
228,t
229,b
230,u
231,r
232,z
233,C
234,S
235,0
236,e
237,E
238,v
239,I
240,t
241,T
242,e
243,p
244,g
245,A
246,C
247,5
248,E
249,B
250,9
251,S
252,O
253,n
254,z
255,U
256,I
257,F
258,E
259,p
260,h
261,v
262,N
263,N
264,M
265,n
266,I
267,E
268,C
269,o
270,e
271,I
272,N
273,A
274,R
275,D
276,i
277,t
278,S
279,O
280,I
281,Z
282,y
283,M
284,q
285,S
286,G
287,R
288,E
289,s
290,L
291,M
292,O
293,U
294,O
295,I
296,M
297,S
298,R
299,r
300,R
301,O
302,2
303,A
304,t
305,T
306,K
307,N
308,A
309,N
310,A
311,O
312,O
313,0
314,H
315,E
316,N
317,l
318,A
319,O
320,P
321,W
322,F
323,W
324,6
325,H
326,I
327,H
328,I
329,I
330,L
331,O
332,E
333,R
334,E
335,H
336,8
337,T
338,o
339,P
340,A
341,A
342,2
343,A
344,i
345,S
346,O
347,n
348,D
349,L
350,N
351,F
352,G
353,D
354,P
355,B
356,2
357,D
358,R
359,R
360,A
361,w
362,k
363,L
364,t
365,A
366,k
367,N
368,M
369,L
370,T
371,S
372,I
373,G
374,i
375,I
376,X
377,a
378,R
379,O
380,O
381,1
382,a
383,T
384,r
385,R
386,A
387,s
388,E
389,t
390,P
391,T
392,A
393,O
394,f
395,S
396,E
397,A
398,R
399,p
400,O
401,S
402,0
403,B
404,i
405,M
406,E
407,A
408,T
409,G
410,F
411,M
412,N
413,C
414,H
415,5
416,U
417,L
418,I
419,S
420,M
421,M
422,l
423,G
424,Y
425,N
426,3
427,l
428,L
429,H
430,H
431,S
432,O
433,i
434,Z
435,C
436,t
437,C
438,D
439,G
440,i
441,f
442,A
443,r
444,E
445,l
446,e
447,O
448,J
449,P
450,k
451,O
452,J
453,G
454,T
455,R
456,T
457,R
458,k
459,O
460,V
461,R
462,G
463,R
464,R
465,P
466,E
467,J
468,P
469,F
470,2
471,C
472,r
473,u
474,I
475,0
476,A
477,O
478,A
479,O
480,F
481,q
482,m
483,A
484,N
485,I
486,n
487,O
488,o
489,R
490,X
491,I
